CVE,CVSS version,CVSS,EPSS,EPSS percentile
CVE-1999-1080,cvssMetricV2,7.2,0.002910000,0.692890000
CVE-1999-0066,cvssMetricV31,9.8,0.012640000,0.857740000
CVE-1999-0066,cvssMetricV2,7.5,0.012640000,0.857740000
CVE-1999-0161,cvssMetricV2,7.5,0.006180000,0.790960000
CVE-1999-0172,cvssMetricV2,7.5,0.015630000,0.872820000
CVE-1999-0203,cvssMetricV2,10.0,0.015000000,0.870350000
CVE-1999-1580,cvssMetricV2,7.2,0.000440000,0.155740000
CVE-1999-0164,cvssMetricV2,6.2,0.000440000,0.159430000
CVE-1999-0155,cvssMetricV2,7.5,0.004880000,0.763220000
CVE-1999-0245,cvssMetricV2,4.6,0.000430000,0.124360000
CVE-1999-0218,cvssMetricV2,5.0,0.038410000,0.919980000
CVE-1999-0073,cvssMetricV2,10.0,0.010630000,0.844090000
CVE-1999-0099,cvssMetricV2,10.0,0.007320000,0.809740000
CVE-1999-0241,cvssMetricV2,10.0,0.005780000,0.783430000
CVE-1999-0080,cvssMetricV2,10.0,0.007270000,0.809140000
CVE-1999-0123,cvssMetricV2,3.7,0.000420000,0.050480000
CVE-1999-0316,cvssMetricV2,7.2,0.000420000,0.050480000
CVE-1999-0325,cvssMetricV2,7.2,0.000420000,0.050480000
CVE-1999-0208,cvssMetricV2,10.0,0.547850000,0.978590000
CVE-1999-1186,cvssMetricV2,7.2,0.000420000,0.050480000
CVE-1999-1319,cvssMetricV2,10.0,0.003180000,0.706590000
CVE-1999-1491,cvssMetricV2,7.2,0.000420000,0.002880000
CVE-1999-0103,cvssMetricV2,5.0,0.875490000,0.989560000
CVE-1999-0143,cvssMetricV2,4.6,0.000440000,0.159430000
CVE-1999-0233,cvssMetricV2,10.0,0.159860000,0.960520000
CVE-1999-0142,cvssMetricV2,7.5,0.034980000,0.916630000
CVE-1999-0067,cvssMetricV2,10.0,0.136520000,0.957370000
CVE-1999-0141,cvssMetricV2,3.7,0.000420000,0.050480000
CVE-1999-0070,cvssMetricV2,5.0,0.079680000,0.944360000
CVE-1999-1103,cvssMetricV2,4.6,0.000420000,0.002880000
CVE-1999-0078,cvssMetricV2,1.9,0.000450000,0.187060000
CVE-1999-0019,cvssMetricV2,5.0,0.007490000,0.812060000
CVE-1999-1314,cvssMetricV2,2.1,0.000420000,0.050480000
CVE-1999-1313,cvssMetricV2,4.6,0.000420000,0.050480000
CVE-1999-0522,cvssMetricV2,7.2,0.000420000,0.050480000
CVE-1999-0509,cvssMetricV2,10.0,0.175260000,0.962070000
CVE-1999-1205,cvssMetricV2,2.1,0.000420000,0.050480000
CVE-1999-1253,cvssMetricV2,7.2,0.000420000,0.002880000
CVE-1999-0138,cvssMetricV2,7.2,0.000430000,0.123250000
CVE-1999-0175,cvssMetricV2,5.0,0.008760000,0.826550000
CVE-1999-0022,cvssMetricV31,7.8,0.000450000,0.187060000
CVE-1999-0022,cvssMetricV2,7.2,0.000450000,0.187060000
CVE-1999-0137,cvssMetricV2,7.2,0.000420000,0.002880000
CVE-1999-1301,cvssMetricV2,7.5,0.006420000,0.795570000
CVE-1999-1572,cvssMetricV2,2.1,0.000450000,0.188170000
CVE-1999-0023,cvssMetricV2,7.2,0.000420000,0.002880000
CVE-1999-0135,cvssMetricV2,7.2,0.000440000,0.159430000
CVE-1999-0136,cvssMetricV2,7.2,0.000440000,0.159430000
CVE-1999-1413,cvssMetricV2,4.6,0.000420000,0.002880000
CVE-1999-0134,cvssMetricV2,7.2,0.000440000,0.159430000
CVE-1999-0133,cvssMetricV2,2.1,0.000860000,0.394160000
CVE-1999-0132,cvssMetricV2,2.1,0.000480000,0.204640000
CVE-1999-0085,cvssMetricV2,7.5,0.021670000,0.893050000
CVE-1999-1187,cvssMetricV2,4.6,0.000450000,0.187000000
CVE-1999-1309,cvssMetricV2,7.2,0.001720000,0.554610000
CVE-1999-0324,cvssMetricV2,7.2,0.000420000,0.050480000
CVE-1999-1252,cvssMetricV2,7.2,0.000420000,0.002880000
CVE-1999-0131,cvssMetricV2,7.2,0.000420000,0.050480000
CVE-1999-1383,cvssMetricV2,4.6,0.000450000,0.187000000
CVE-1999-1295,cvssMetricV2,4.6,0.000450000,0.186320000
CVE-1999-0116,cvssMetricV2,5.0,0.081960000,0.945100000
CVE-1999-0961,cvssMetricV2,6.2,0.000420000,0.050480000
CVE-1999-0206,cvssMetricV2,10.0,0.007510000,0.812310000
CVE-1999-0246,cvssMetricV2,10.0,0.008610000,0.825060000
CVE-1999-0308,cvssMetricV2,4.6,0.000420000,0.050480000
CVE-1999-0319,cvssMetricV2,7.2,0.000420000,0.050480000
CVE-1999-0234,cvssMetricV2,4.6,0.000420000,0.050480000
CVE-1999-0075,cvssMetricV2,5.0,0.015980000,0.874230000
