CVE,CVSS version,CVSS,EPSS,EPSS percentile
CVE-2017-11357,cvssMetricV31,9.8,0.936200000,0.998380000
CVE-2015-1187,cvssMetricV31,9.8,0.790090000,0.989900000
CVE-2017-12149,cvssMetricV31,9.8,0.943130000,0.999390000
CVE-2017-12629,cvssMetricV31,9.8,0.939150000,0.998700000
CVE-2017-15222,cvssMetricV31,9.8,0.820450000,0.991590000
CVE-2017-15944,cvssMetricV31,9.8,0.940170000,0.998850000
CVE-2017-1000486,cvssMetricV31,9.8,0.937570000,0.998560000
CVE-2017-1000353,cvssMetricV31,9.8,0.944480000,0.999910000
CVE-2017-7525,cvssMetricV31,9.8,0.777000000,0.989270000
CVE-2018-4878,cvssMetricV31,9.8,0.933260000,0.998060000
CVE-2018-0125,cvssMetricV31,9.8,0.723150000,0.986500000
CVE-2018-0127,cvssMetricV31,9.8,0.879360000,0.994450000
CVE-2018-6789,cvssMetricV31,9.8,0.856400000,0.993310000
CVE-2018-6530,cvssMetricV31,9.8,0.942940000,0.999320000
CVE-2018-7445,cvssMetricV31,9.8,0.860300000,0.993480000
CVE-2018-9032,cvssMetricV31,9.8,0.898940000,0.995550000
CVE-2018-0171,cvssMetricV31,9.8,0.852710000,0.993110000
CVE-2018-7600,cvssMetricV31,9.8,0.944890000,0.999990000
CVE-2018-1270,cvssMetricV31,9.8,0.898120000,0.995490000
CVE-2018-1273,cvssMetricV31,9.8,0.943360000,0.999460000
CVE-2018-2628,cvssMetricV31,9.8,0.944220000,0.999790000
CVE-2018-10561,cvssMetricV31,9.8,0.921800000,0.997060000
CVE-2018-10562,cvssMetricV31,9.8,0.941990000,0.999110000
CVE-2018-4939,cvssMetricV31,9.8,0.855280000,0.993250000
CVE-2018-11138,cvssMetricV31,9.8,0.867310000,0.993770000
CVE-2018-12634,cvssMetricV31,9.8,0.878250000,0.994380000
CVE-2018-1000533,cvssMetricV31,9.8,0.893730000,0.995220000
CVE-2018-7602,cvssMetricV31,9.8,0.944360000,0.999860000
CVE-2018-14847,cvssMetricV31,9.1,0.894100000,0.995250000
CVE-2018-14933,cvssMetricV31,9.8,0.919100000,0.996870000
CVE-2018-16763,cvssMetricV31,9.8,0.939420000,0.998740000
CVE-2018-16836,cvssMetricV31,9.8,0.889570000,0.994990000
CVE-2018-17207,cvssMetricV31,9.8,0.789490000,0.989860000
CVE-2018-17254,cvssMetricV31,9.8,0.855640000,0.993260000
CVE-2018-15961,cvssMetricV31,9.8,0.943510000,0.999540000
CVE-2018-9206,cvssMetricV31,9.8,0.925030000,0.997340000
CVE-2018-14558,cvssMetricV31,9.8,0.808490000,0.990920000
CVE-2018-14667,cvssMetricV31,9.8,0.881370000,0.994530000
CVE-2018-19410,cvssMetricV31,9.8,0.873200000,0.994090000
CVE-2018-1000861,cvssMetricV31,9.8,0.944690000,0.999950000
CVE-2018-20062,cvssMetricV31,9.8,0.936830000,0.998460000
CVE-2018-15982,cvssMetricV31,9.8,0.931320000,0.997880000
CVE-2018-17431,cvssMetricV31,9.8,0.920610000,0.997000000
CVE-2019-1663,cvssMetricV31,9.8,0.917420000,0.996720000
CVE-2019-0604,cvssMetricV31,9.8,0.944010000,0.999720000
CVE-2019-1003029,cvssMetricV31,9.9,0.930890000,0.997830000
CVE-2019-1003030,cvssMetricV31,9.9,0.931680000,0.997930000
CVE-2018-19276,cvssMetricV31,9.8,0.929490000,0.997720000
CVE-2018-19365,cvssMetricV31,9.1,0.787930000,0.989790000
CVE-2019-7238,cvssMetricV31,9.8,0.941610000,0.999070000
CVE-2019-3396,cvssMetricV31,9.8,0.944860000,0.999990000
CVE-2019-7609,cvssMetricV31,10.0,0.944230000,0.999790000
CVE-2019-10068,cvssMetricV31,9.8,0.941480000,0.999040000
CVE-2019-5420,cvssMetricV31,9.8,0.935280000,0.998260000
CVE-2019-10655,cvssMetricV31,9.8,0.851590000,0.993030000
CVE-2019-10692,cvssMetricV31,9.8,0.904940000,0.995920000
CVE-2019-7304,cvssMetricV31,9.8,0.849830000,0.992930000
CVE-2019-2725,cvssMetricV31,9.8,0.944480000,0.999910000
CVE-2019-3929,cvssMetricV31,9.8,0.942020000,0.999120000
CVE-2017-18368,cvssMetricV31,9.8,0.937110000,0.998490000
CVE-2019-11510,cvssMetricV31,10.0,0.944130000,0.999760000
CVE-2018-14839,cvssMetricV31,9.8,0.925170000,0.997360000
CVE-2019-0708,cvssMetricV31,9.8,0.944750000,0.999970000
CVE-2019-4279,cvssMetricV31,9.8,0.840800000,0.992510000
CVE-2019-9670,cvssMetricV31,9.8,0.944300000,0.999840000
CVE-2019-11580,cvssMetricV31,9.8,0.944060000,0.999740000
CVE-2018-13379,cvssMetricV31,9.1,0.944540000,0.999920000
CVE-2018-13382,cvssMetricV31,9.1,0.881210000,0.994510000
CVE-2019-10149,cvssMetricV31,9.8,0.939270000,0.998720000
CVE-2019-2729,cvssMetricV31,9.8,0.942330000,0.999190000
CVE-2019-1620,cvssMetricV31,9.8,0.856000000,0.993280000
CVE-2019-7256,cvssMetricV31,9.8,0.944060000,0.999740000
CVE-2019-13372,cvssMetricV31,9.8,0.914790000,0.996560000
CVE-2019-12989,cvssMetricV31,9.8,0.878710000,0.994410000
CVE-2019-9848,cvssMetricV31,9.8,0.850730000,0.992970000
CVE-2019-12815,cvssMetricV31,9.8,0.768060000,0.988830000
CVE-2019-10173,cvssMetricV31,9.8,0.916020000,0.996630000
CVE-2019-14271,cvssMetricV31,9.8,0.721980000,0.986460000
CVE-2019-11581,cvssMetricV31,9.8,0.943770000,0.999620000
CVE-2019-12255,cvssMetricV31,9.8,0.801530000,0.990500000
CVE-2019-1181,cvssMetricV31,9.8,0.746410000,0.987670000
CVE-2019-9851,cvssMetricV31,9.8,0.843590000,0.992620000
CVE-2019-15107,cvssMetricV31,9.8,0.944610000,0.999940000
CVE-2015-9323,cvssMetricV31,9.8,0.798710000,0.990370000
CVE-2019-1935,cvssMetricV31,9.8,0.888030000,0.994920000
CVE-2019-16057,cvssMetricV31,9.8,0.942380000,0.999200000
CVE-2019-16724,cvssMetricV31,9.8,0.842640000,0.992570000
CVE-2019-16759,cvssMetricV31,9.8,0.944290000,0.999820000
CVE-2019-16920,cvssMetricV31,9.8,0.943430000,0.999500000
CVE-2019-16928,cvssMetricV31,9.8,0.910440000,0.996250000
CVE-2019-16891,cvssMetricV31,9.8,0.847300000,0.992810000
CVE-2019-17382,cvssMetricV31,9.1,0.935690000,0.998310000
CVE-2019-15859,cvssMetricV31,9.8,0.820360000,0.991580000
CVE-2019-17506,cvssMetricV31,9.8,0.938040000,0.998610000
CVE-2019-17574,cvssMetricV31,9.1,0.874330000,0.994170000
CVE-2019-16278,cvssMetricV31,9.8,0.943900000,0.999670000
CVE-2019-17662,cvssMetricV31,9.8,0.940970000,0.998940000
CVE-2019-18394,cvssMetricV31,9.8,0.937190000,0.998510000
CVE-2019-5127,cvssMetricV31,9.8,0.927890000,0.997540000
CVE-2019-5128,cvssMetricV31,9.8,0.872000000,0.994020000
CVE-2019-5129,cvssMetricV31,9.8,0.873400000,0.994110000
CVE-2019-16662,cvssMetricV31,9.8,0.942650000,0.999260000
CVE-2012-0694,cvssMetricV31,9.8,0.826210000,0.991880000
CVE-2011-3923,cvssMetricV31,9.8,0.915330000,0.996580000
CVE-2019-18818,cvssMetricV31,9.8,0.937320000,0.998530000
CVE-2019-5029,cvssMetricV31,9.8,0.844380000,0.992660000
CVE-2019-12409,cvssMetricV31,9.8,0.815920000,0.991270000
CVE-2011-2921,cvssMetricV31,9.8,0.715940000,0.986170000
CVE-2011-2523,cvssMetricV31,9.8,0.942610000,0.999250000
CVE-2019-12518,cvssMetricV31,9.8,0.709410000,0.985850000
CVE-2019-5096,cvssMetricV31,9.8,0.846420000,0.992760000
CVE-2019-7192,cvssMetricV31,9.8,0.942980000,0.999340000
CVE-2019-7194,cvssMetricV31,9.8,0.889440000,0.994980000
CVE-2019-7195,cvssMetricV31,9.8,0.903280000,0.995830000
CVE-2019-5544,cvssMetricV31,9.8,0.904690000,0.995900000
CVE-2019-17270,cvssMetricV31,9.8,0.933600000,0.998100000
CVE-2019-18935,cvssMetricV31,9.8,0.936680000,0.998430000
CVE-2013-5743,cvssMetricV31,9.8,0.795420000,0.990190000
CVE-2019-4716,cvssMetricV31,9.8,0.821490000,0.991650000
CVE-2019-7482,cvssMetricV31,9.8,0.707420000,0.985720000
CVE-2019-17571,cvssMetricV31,9.8,0.753680000,0.988080000
CVE-2019-10758,cvssMetricV31,9.9,0.943610000,0.999560000
CVE-2019-19781,cvssMetricV31,9.8,0.944420000,0.999890000
CVE-2019-17621,cvssMetricV31,9.8,0.922200000,0.997100000
CVE-2014-8516,cvssMetricV31,9.8,0.827040000,0.991920000
CVE-2019-15975,cvssMetricV31,9.8,0.809340000,0.990940000
CVE-2020-0609,cvssMetricV31,9.8,0.862760000,0.993590000
CVE-2020-0610,cvssMetricV31,9.8,0.855720000,0.993260000
CVE-2020-0646,cvssMetricV31,9.8,0.927750000,0.997540000
CVE-2020-2551,cvssMetricV31,9.8,0.943590000,0.999550000
CVE-2020-2555,cvssMetricV31,9.8,0.931560000,0.997910000
CVE-2019-17570,cvssMetricV31,9.8,0.700100000,0.985370000
CVE-2020-7980,cvssMetricV31,9.8,0.935050000,0.998240000
CVE-2012-1495,cvssMetricV31,9.8,0.884840000,0.994720000
CVE-2014-8741,cvssMetricV31,9.8,0.703500000,0.985530000
CVE-2013-1599,cvssMetricV31,9.8,0.922590000,0.997140000
CVE-2013-3214,cvssMetricV31,9.8,0.890730000,0.995050000
CVE-2019-20215,cvssMetricV31,9.8,0.900240000,0.995640000
CVE-2020-7247,cvssMetricV31,9.8,0.941170000,0.998990000
CVE-2013-3215,cvssMetricV31,9.8,0.774820000,0.989130000
CVE-2020-8515,cvssMetricV31,9.8,0.943570000,0.999550000
CVE-2020-6754,cvssMetricV31,9.8,0.799100000,0.990400000
CVE-2020-8644,cvssMetricV31,9.8,0.941020000,0.998950000
CVE-2020-8771,cvssMetricV31,9.8,0.766410000,0.988730000
CVE-2020-8772,cvssMetricV31,9.8,0.937200000,0.998520000
CVE-2020-8657,cvssMetricV31,9.8,0.863120000,0.993610000
CVE-2020-8656,cvssMetricV31,9.8,0.816280000,0.991290000
CVE-2014-8739,cvssMetricV31,9.8,0.789390000,0.989840000
CVE-2013-0803,cvssMetricV31,9.8,0.835320000,0.992280000
CVE-2013-1359,cvssMetricV31,9.8,0.891270000,0.995100000
CVE-2013-2010,cvssMetricV31,9.8,0.821600000,0.991660000
CVE-2020-7209,cvssMetricV31,9.8,0.937190000,0.998510000
CVE-2013-4211,cvssMetricV31,9.8,0.880240000,0.994480000
CVE-2020-8518,cvssMetricV31,9.8,0.848570000,0.992890000
CVE-2015-6922,cvssMetricV31,9.8,0.766400000,0.988730000
CVE-2014-7236,cvssMetricV31,9.1,0.859490000,0.993440000
CVE-2020-8010,cvssMetricV31,9.8,0.799600000,0.990420000
CVE-2020-8012,cvssMetricV31,9.8,0.800250000,0.990440000
CVE-2020-7796,cvssMetricV31,9.8,0.768850000,0.988890000
CVE-2014-9614,cvssMetricV31,9.8,0.711030000,0.985930000
CVE-2020-9374,cvssMetricV31,9.8,0.892040000,0.995140000
CVE-2020-1938,cvssMetricV31,9.8,0.944690000,0.999950000
CVE-2020-8794,cvssMetricV31,9.8,0.867940000,0.993820000
CVE-2020-9465,cvssMetricV31,9.8,0.785780000,0.989710000
CVE-2020-9757,cvssMetricV31,9.8,0.942760000,0.999290000
CVE-2020-9054,cvssMetricV31,9.8,0.940740000,0.998910000
CVE-2020-10189,cvssMetricV31,9.8,0.942600000,0.999230000
CVE-2020-10220,cvssMetricV31,9.8,0.942610000,0.999250000
CVE-2020-6207,cvssMetricV31,9.8,0.942740000,0.999280000
CVE-2020-1947,cvssMetricV31,9.8,0.854570000,0.993210000
CVE-2020-0796,cvssMetricV31,10.0,0.944190000,0.999780000
CVE-2020-5847,cvssMetricV31,9.8,0.937890000,0.998590000
CVE-2020-8599,cvssMetricV31,9.8,0.714560000,0.986100000
CVE-2020-7961,cvssMetricV31,9.8,0.944120000,0.999750000
CVE-2020-5722,cvssMetricV31,9.8,0.909070000,0.996160000
CVE-2020-10879,cvssMetricV31,9.8,0.851370000,0.993020000
CVE-2020-1957,cvssMetricV31,9.8,0.866300000,0.993720000
CVE-2020-11455,cvssMetricV31,9.8,0.904370000,0.995890000
CVE-2019-17564,cvssMetricV31,9.8,0.877800000,0.994360000
CVE-2020-3952,cvssMetricV31,9.8,0.932090000,0.997970000
CVE-2020-11710,cvssMetricV31,9.8,0.931100000,0.997860000
CVE-2020-2733,cvssMetricV31,9.8,0.821140000,0.991620000
CVE-2020-2883,cvssMetricV31,9.8,0.938010000,0.998610000
CVE-2020-2950,cvssMetricV31,9.8,0.861420000,0.993530000
