CVE,CVSS version,CVSS,EPSS,EPSS percentile
CVE-2010-0477,cvssMetricV2,10.0,0.822890000,0.991850000
CVE-2010-0478,cvssMetricV2,9.3,0.786820000,0.989950000
CVE-2010-0480,cvssMetricV2,9.3,0.817490000,0.991490000
CVE-2010-1318,cvssMetricV2,10.0,0.775940000,0.989390000
CVE-2010-0886,cvssMetricV2,10.0,0.779760000,0.989600000
CVE-2010-1549,cvssMetricV2,10.0,0.886090000,0.994850000
CVE-2010-1552,cvssMetricV2,10.0,0.823770000,0.991890000
CVE-2010-1553,cvssMetricV2,10.0,0.857200000,0.993460000
CVE-2010-1554,cvssMetricV2,10.0,0.815180000,0.991380000
CVE-2010-1555,cvssMetricV2,10.0,0.819470000,0.991640000
CVE-2010-0822,cvssMetricV2,9.3,0.804470000,0.990850000
CVE-2010-1960,cvssMetricV2,10.0,0.734030000,0.987330000
CVE-2010-1961,cvssMetricV2,10.0,0.734030000,0.987330000
CVE-2010-1885,cvssMetricV2,9.3,0.923900000,0.997280000
CVE-2010-2343,cvssMetricV2,9.3,0.768410000,0.989050000
CVE-2010-0266,cvssMetricV2,9.3,0.837420000,0.992470000
CVE-2010-2703,cvssMetricV2,10.0,0.825630000,0.991940000
CVE-2010-2965,cvssMetricV2,10.0,0.938410000,0.998650000
CVE-2010-2709,cvssMetricV2,9.3,0.856540000,0.993410000
CVE-2010-2550,cvssMetricV2,10.0,0.820120000,0.991680000
CVE-2010-2553,cvssMetricV2,9.3,0.810670000,0.991170000
CVE-2009-4988,cvssMetricV2,10.0,0.808450000,0.991060000
CVE-2010-3187,cvssMetricV2,10.0,0.795280000,0.990350000
CVE-2010-1818,cvssMetricV2,9.3,0.765110000,0.988870000
CVE-2010-3189,cvssMetricV2,9.3,0.765510000,0.988890000
CVE-2010-1807,cvssMetricV2,9.3,0.805530000,0.990920000
CVE-2010-2729,cvssMetricV2,9.3,0.721160000,0.986740000
CVE-2010-3407,cvssMetricV2,9.3,0.777410000,0.989500000
CVE-2010-0219,cvssMetricV2,10.0,0.938770000,0.998680000
CVE-2010-3552,cvssMetricV2,10.0,0.826650000,0.991980000
CVE-2010-3563,cvssMetricV2,10.0,0.890640000,0.995140000
CVE-2010-3653,cvssMetricV2,9.3,0.777790000,0.989520000
CVE-2010-3765,cvssMetricV2,9.3,0.877710000,0.994430000
CVE-2010-3654,cvssMetricV2,9.3,0.936400000,0.998410000
CVE-2010-3962,cvssMetricV2,9.3,0.909420000,0.996220000
CVE-2010-4221,cvssMetricV2,10.0,0.921280000,0.997080000
CVE-2010-4279,cvssMetricV2,10.0,0.871050000,0.994090000
CVE-2010-3970,cvssMetricV2,9.3,0.844620000,0.992800000
CVE-2010-3971,cvssMetricV2,9.3,0.856020000,0.993390000
CVE-2010-3972,cvssMetricV2,10.0,0.916890000,0.996730000
CVE-2010-3973,cvssMetricV2,9.3,0.820110000,0.991670000
CVE-2010-4588,cvssMetricV2,9.3,0.735870000,0.987380000
CVE-2011-0027,cvssMetricV2,9.3,0.710270000,0.986250000
CVE-2011-0266,cvssMetricV2,10.0,0.797920000,0.990500000
CVE-2011-0267,cvssMetricV2,10.0,0.810690000,0.991180000
CVE-2010-4566,cvssMetricV2,9.3,0.718490000,0.986620000
CVE-2011-0517,cvssMetricV2,9.3,0.737960000,0.987480000
CVE-2011-0276,cvssMetricV2,10.0,0.867660000,0.993880000
CVE-2011-0531,cvssMetricV2,9.3,0.740750000,0.987610000
CVE-2011-0922,cvssMetricV2,10.0,0.820060000,0.991670000
CVE-2011-0923,cvssMetricV2,10.0,0.898910000,0.995630000
CVE-2011-0647,cvssMetricV2,10.0,0.709720000,0.986220000
CVE-2011-0978,cvssMetricV2,9.3,0.816700000,0.991450000
CVE-2011-0654,cvssMetricV2,10.0,0.795940000,0.990410000
CVE-2010-4452,cvssMetricV2,10.0,0.853530000,0.993260000
CVE-2010-3275,cvssMetricV2,9.3,0.866590000,0.993830000
CVE-2011-1566,cvssMetricV2,10.0,0.776630000,0.989430000
CVE-2011-1567,cvssMetricV2,10.0,0.801100000,0.990640000
CVE-2011-0041,cvssMetricV2,9.3,0.762590000,0.988780000
CVE-2011-0101,cvssMetricV2,9.3,0.702240000,0.985890000
CVE-2011-0104,cvssMetricV2,9.3,0.772890000,0.989230000
CVE-2011-0105,cvssMetricV2,9.3,0.894180000,0.995380000
CVE-2011-1653,cvssMetricV2,10.0,0.743520000,0.987770000
CVE-2011-0807,cvssMetricV2,10.0,0.888890000,0.995040000
CVE-2011-1591,cvssMetricV2,9.3,0.821240000,0.991740000
