CVE,CVSS version,CVSS,EPSS,EPSS percentile
CVE-2014-0112,cvssMetricV2,7.5,0.91817,0.99681
CVE-2014-0114,cvssMetricV2,7.5,0.92095,0.99701
CVE-2014-0160,cvssMetricV31,7.5,0.94477,0.99998
CVE-2014-0195,cvssMetricV2,6.8,0.90527,0.99598
CVE-2014-0322,cvssMetricV31,8.8,0.93327,0.99806
CVE-2014-1761,cvssMetricV31,7.8,0.92707,0.99749
CVE-2014-2962,cvssMetricV2,7.8,0.923,0.99716
CVE-2014-3470,cvssMetricV2,4.3,0.92259,0.99712
CVE-2014-3566,cvssMetricV2,4.3,0.94199,0.99912
CVE-2014-3704,cvssMetricV2,7.5,0.94398,0.9997
CVE-2014-4114,cvssMetricV31,7.8,0.91927,0.99688
CVE-2014-4210,cvssMetricV2,5.0,0.94205,0.99913
CVE-2014-5445,cvssMetricV2,5.0,0.91587,0.99667
CVE-2014-6332,cvssMetricV31,8.8,0.94088,0.99895
CVE-2014-6352,cvssMetricV31,7.8,0.91322,0.9965
CVE-2015-0016,cvssMetricV31,7.8,0.91992,0.99691
CVE-2015-0204,cvssMetricV2,4.3,0.93155,0.99789
CVE-2015-1328,cvssMetricV30,7.8,0.90134,0.99578
CVE-2015-1503,cvssMetricV30,7.5,0.92637,0.99745
CVE-2015-1641,cvssMetricV31,7.8,0.93416,0.99816
CVE-2015-1701,cvssMetricV31,7.8,0.90648,0.99606
CVE-2015-2080,cvssMetricV30,7.5,0.93299,0.99803
CVE-2015-2426,cvssMetricV31,8.8,0.91838,0.99683
CVE-2015-2545,cvssMetricV31,7.8,0.93811,0.99862
CVE-2015-3035,cvssMetricV31,7.5,0.93539,0.99829
CVE-2015-3337,cvssMetricV2,4.3,0.92023,0.99694
CVE-2015-4000,cvssMetricV2,4.3,0.94084,0.99894
CVE-2015-5477,cvssMetricV2,7.8,0.92832,0.9976
CVE-2015-7297,cvssMetricV2,7.5,0.943,0.99934
CVE-2015-7547,cvssMetricV30,8.1,0.93413,0.99815
CVE-2015-7857,cvssMetricV2,7.5,0.902,0.99582
CVE-2015-7858,cvssMetricV2,7.5,0.91024,0.99627
CVE-2015-8399,cvssMetricV30,4.3,0.93046,0.9978
CVE-2015-8562,cvssMetricV2,7.5,0.94144,0.99905
CVE-2015-8651,cvssMetricV31,8.8,0.90344,0.99587
CVE-2016-0099,cvssMetricV31,7.8,0.9059,0.99601
CVE-2016-0189,cvssMetricV31,7.5,0.92551,0.99738
CVE-2016-0492,cvssMetricV2,6.4,0.91458,0.99659
CVE-2016-0752,cvssMetricV31,7.5,0.92992,0.99777
CVE-2016-0792,cvssMetricV30,8.8,0.92096,0.99702
CVE-2016-0800,cvssMetricV30,5.9,0.90973,0.99624
CVE-2016-0957,cvssMetricV30,7.5,0.9123,0.99641
CVE-2016-11021,cvssMetricV31,7.2,0.90323,0.99586
CVE-2016-2776,cvssMetricV30,7.5,0.9034,0.99586
CVE-2016-3081,cvssMetricV30,8.1,0.93957,0.99878
CVE-2016-3714,cvssMetricV31,8.4,0.93866,0.99866
CVE-2016-3718,cvssMetricV31,5.5,0.90382,0.99589
CVE-2016-4977,cvssMetricV30,8.8,0.94162,0.99908
CVE-2016-5195,cvssMetricV31,7.0,0.94342,0.99949
CVE-2016-6210,cvssMetricV30,5.9,0.92487,0.99732
CVE-2016-6277,cvssMetricV31,8.8,0.94298,0.99933
